,time,latitude,longitude,2m_temperature,diff
46,1990-01-02 22:00:00,40.25,271.75,276.1983,-2.724762
89,1990-01-04 17:00:00,40.25,271.75,277.7182,-3.7476501
90,1990-01-04 18:00:00,40.25,271.75,275.59875,-2.7899475
94,1990-01-04 22:00:00,40.25,271.75,273.3999,-2.5891724
118,1990-01-05 22:00:00,40.25,271.75,272.66168,-3.5113525
119,1990-01-05 23:00:00,40.25,271.75,271.07373,-3.1912842
142,1990-01-06 22:00:00,40.25,271.75,274.52902,-3.2002869
143,1990-01-06 23:00:00,40.25,271.75,273.17892,-3.0110168
166,1990-01-07 22:00:00,40.25,271.75,276.43784,-4.417633
167,1990-01-07 23:00:00,40.25,271.75,276.11255,-2.8229065
358,1990-01-15 22:00:00,40.25,271.75,281.65683,-3.8969116
359,1990-01-15 23:00:00,40.25,271.75,281.2569,-2.935791
407,1990-01-17 23:00:00,40.25,271.75,284.67972,-2.4996033
410,1990-01-18 02:00:00,40.25,271.75,283.2321,-2.6913147
411,1990-01-18 03:00:00,40.25,271.75,281.43896,-3.6886292
412,1990-01-18 04:00:00,40.25,271.75,280.10355,-3.2371216
413,1990-01-18 05:00:00,40.25,271.75,277.98825,-3.5640259
414,1990-01-18 06:00:00,40.25,271.75,276.5113,-3.3649902
430,1990-01-18 22:00:00,40.25,271.75,272.6119,-3.4346313
431,1990-01-18 23:00:00,40.25,271.75,272.5848,-2.6644287
526,1990-01-22 22:00:00,40.25,271.75,278.10867,-2.934723
562,1990-01-24 10:00:00,40.25,271.75,275.6871,-2.6152344
574,1990-01-24 22:00:00,40.25,271.75,281.9038,-2.9589539
591,1990-01-25 15:00:00,40.25,271.75,275.8597,-3.4329834
592,1990-01-25 16:00:00,40.25,271.75,273.65775,-3.1683044
593,1990-01-25 17:00:00,40.25,271.75,271.6208,-2.6973877
646,1990-01-27 22:00:00,40.25,271.75,282.47293,-3.417389
647,1990-01-27 23:00:00,40.25,271.75,276.2787,-8.122681
648,1990-01-28 00:00:00,40.25,271.75,274.69305,-3.0628662
694,1990-01-29 22:00:00,40.25,271.75,275.89438,-2.8736267
695,1990-01-29 23:00:00,40.25,271.75,274.47208,-3.7971497
718,1990-01-30 22:00:00,40.25,271.75,277.56656,-4.7085266
719,1990-01-30 23:00:00,40.25,271.75,277.14932,-4.6372375
720,1990-01-31 00:00:00,40.25,271.75,275.82587,-3.4668884
725,1990-01-31 05:00:00,40.25,271.75,271.11227,-2.8807678
726,1990-01-31 06:00:00,40.25,271.75,269.80347,-2.6799011
862,1990-02-05 22:00:00,40.25,271.75,280.3476,-3.5444336
863,1990-02-05 23:00:00,40.25,271.75,280.0273,-3.1464233
886,1990-02-06 22:00:00,40.25,271.75,279.44232,-3.15271
